matched_name,count,total_amount,mean_amount,home_district_percentage,oos_percentage,perc_IND_value
April Somboun,559,36125.0,64.62432915921288,34.380776340110906,21.256931608133087,93.21377886724294
Ari Kagan,592,70489.0,119.06925675675676,39.41480206540447,2.2375215146299485,85.94752115492477
Arthur Z Schwartz,521,45953.27,88.20205374280229,37.96477495107632,20.352250489236788,91.08085561153916
Athena Moore,430,38047.24,88.48195348837208,29.383886255924168,15.402843601895736,100.0
Austin Shafran,358,42583.0,118.94692737430168,29.629629629629626,12.82051282051282,80.79039235030734
Avi Cyperstein,486,50547.25,104.00668724279835,39.58333333333333,14.791666666666666,100.0
Badrun N Khan,290,19478.31,67.16658620689655,40.625,3.4722222222222223,99.87181663010021
Bella A Matias,159,11105.0,69.84276729559748,62.65822784810127,2.5316455696202533,94.44408535942331
Benjamin I Guttmann,93,6077.0,65.34408602150538,0.0,17.391304347826086,100.0
Benjamin Solotaire,325,20152.0,62.00615384615384,24.605678233438486,15.772870662460567,96.41182661946225
Bernadette Ferrara,181,12243.09,67.64138121546961,43.646408839779006,9.94475138121547,76.46989383111165
Bernadette McNear,29,1165.0,40.172413793103445,42.857142857142854,21.428571428571427,100.0
Bianca Ozeri,11,710.0,64.54545454545455,0.0,50.0,82.55813953488372
Bill Perkins,150,9829.0,65.52666666666667,43.333333333333336,3.3333333333333335,98.99284922952965
Billy Freeland,649,65035.7,100.2090909090909,23.1496062992126,29.133858267716533,98.46777404815005
Billy K Council,364,33215.0,91.25,26.478873239436616,25.915492957746476,100.0
Binyomin Bendet,223,34783.0,155.97757847533632,11.11111111111111,2.314814814814815,100.0
Blake Morris,629,25385.0,40.3577106518283,41.935483870967744,3.7096774193548385,98.92829306313328
Boris Noble,246,16754.0,68.10569105691057,0.0,6.504065040650407,73.30882996412006
Brandon West,2040,76463.44,37.48207843137255,24.962705121829938,17.901541521631028,93.26579531433038
Brent M O'Leary,520,59917.5,115.22596153846153,52.788844621513945,17.330677290836654,92.29791658643663
Brian A Cunningham,282,24821.21,88.01847517730496,0.0,17.26618705035971,100.0
Brian Fox,422,36238.83,85.8740047393365,0.0,2.3980815347721824,94.59654601824174
Briget Rein,638,61416.22,96.26366771159874,22.098569157392685,16.05723370429253,71.02914872420698
Carl L Lundgren,1,20.0,20.0,0.0,100.0,7.4074074074074066
Carlina Rivera,1217,110994.43,91.20331142152834,38.57740585774059,10.0418410041841,84.01067882294073
Carlton Berkley,13,1750.0,134.6153846153846,38.46153846153847,7.6923076923076925,79.54545454545455
Carmen De La Rosa,821,73813.0,89.9062119366626,29.15129151291513,13.530135301353013,83.92156193952005
Carmen Quinones,305,20605.0,67.55737704918033,53.135313531353134,4.9504950495049505,97.64657767819611
