matched_name,count,total_amount,mean_amount,home_district_percentage,oos_percentage,perc_IND_value
Regina Kinsey,372,19389.0,52.12096774193548,49.865229110512125,5.660377358490567,99.70688059240975
Reginald Swiney,27,2935.0,108.70370370370371,12.0,8.0,99.86254014916436
Rene Hill,760,31564.0,41.53157894736842,19.00269541778976,5.525606469002695,93.15841682636274
Renee Collymore,231,14867.32,64.36069264069263,40.692640692640694,13.852813852813853,72.99595626719668
Richard J Lee,529,63879.21,120.75465028355387,30.681818181818183,10.984848484848484,93.19528841511924
Rick Echevarria,345,22362.69,64.81939130434782,16.08187134502924,13.742690058479532,98.11390373533844
Rita C Joseph,935,88930.38,95.11270588235294,22.33115468409586,23.093681917211327,90.74598019882805
Robert F Holden,692,61937.11,89.50449421965318,66.27737226277372,5.401459854014599,81.9142727269481
Robert Waterman,390,41958.0,107.58461538461539,5.426356589147287,13.695090439276486,92.35137455153742
Rod Townsend,93,5089.93,54.730430107526885,0.0,10.75268817204301,91.05534416352262
Rodrigo Camarena,794,37103.0,46.72921914357683,19.176319176319176,19.176319176319176,99.1422616502779
Ruben Cruz,73,3600.0,49.31506849315068,0.0,15.492957746478872,95.36423841059603
Ruben Wills,193,40895.0,211.89119170984455,46.56084656084656,3.7037037037037033,100.0
Ruth McDaniels,214,11637.0,54.37850467289719,41.509433962264154,9.90566037735849,95.88036582351486
Sabrina Gates,125,7943.24,63.545919999999995,3.3057851239669422,36.36363636363637,96.94870405358564
Saifur R Khan,273,22496.0,82.40293040293041,60.07326007326007,1.8315018315018317,99.557443795362
Sal F Albanese,414,38679.0,93.42753623188406,0.0,6.65024630541872,71.5893316552222
Sam T Pirozzolo,299,19169.0,64.11036789297658,49.831649831649834,1.6835016835016834,97.90591960774299
Samuel Sierra,3,50.0,16.666666666666668,0.0,0.0,19.841269841269842
Sandra Ung,760,114079.29,150.1043289473684,29.57559681697613,14.456233421750664,87.19705656126392
Sandy Nurse,1336,63187.2,47.29580838323353,9.50191570881226,13.256704980842912,90.57008792811637
Sanjeev Jindal,326,41483.36,127.24957055214725,41.66666666666667,28.08641975308642,100.0
Sara K Lind,772,66308.15,85.89138601036268,27.595269382391592,15.505913272010513,98.1196053797857
Scott F Murphy,283,14717.53,52.00540636042403,6.761565836298933,20.640569395017792,98.12779156079378
Sean A Esrafily,6,0.0,0.0,0.0,66.66666666666666,0.0
Sean C Hayes,54,4082.0,75.5925925925926,14.285714285714285,71.42857142857143,13.250407380236704
Selina Grey,290,24825.0,85.60344827586206,63.38028169014085,4.577464788732395,93.41486359360302
Selvena Brooks-Powers,373,55841.0,149.7077747989276,39.56639566395664,15.718157181571815,79.09934878774345
Seth L Breland,46,3662.87,79.62760869565217,0.0,26.08695652173913,51.06561250935818
Seth M Rosen,223,23424.0,105.04035874439462,0.0,54.58715596330275,85.41423570595099
Shadoe G Tarver,144,20144.0,139.88888888888889,0.0,59.154929577464785,99.60443037974683
Shaeleigh M Severino,429,16124.43,37.586083916083915,28.60520094562648,21.27659574468085,88.47700586520402
Shah S Haque,61,5030.0,82.45901639344262,0.0,1.639344262295082,100.0
Shahana Hanif,1957,88402.88,45.1726520183955,38.86870783601453,13.907628437986508,94.28302971418455
Shanequa E Moore,243,19161.97,78.85584362139919,43.93305439330544,13.389121338912133,86.75297005564568
Sharon Levy,132,10005.0,75.79545454545455,0.0,7.8125,99.60615497343836
Sharon R Wedderburn,21,3125.0,148.8095238095238,0.0,4.761904761904762,100.0
Shaun Abreu,616,74498.62,120.93931818181818,35.17915309446254,20.195439739413683,83.4889151002866
Sheba T Simpson,239,14947.75,62.5428870292887,0.0,19.396551724137932,103.23224259015879
Shekar Krishnan,835,94536.23,113.21704191616766,49.32844932844933,19.536019536019538,90.60877454556747
Sheryl A Fetik,19,1431.0,75.3157894736842,57.89473684210527,26.31578947368421,54.38996579247435
Shirley S Paul,544,47982.74,88.20356617647059,21.561338289962826,22.490706319702603,93.20160504277744
Socrates S Solano,199,8742.0,43.92964824120603,39.39393939393939,11.11111111111111,94.5899156026834
Stacy R Lynch,525,56777.84,108.14826666666666,30.888030888030887,20.656370656370658,96.4332930691751
Steve Behar,340,33401.0,98.23823529411764,36.92307692307693,23.076923076923077,94.55075581724509
Steven Patzer,413,33617.54,81.398401937046,42.961165048543684,6.310679611650485,90.9379958742183
Steven Raga,492,41569.06,84.48995934959349,30.612244897959183,23.06122448979592,99.3906357892804
Steven Saperstein,792,95269.07,120.2892297979798,34.09378960709759,4.309252217997465,86.39691075657026
Steven Sirgiovanni,41,5120.0,124.8780487804878,80.48780487804879,7.317073170731707,94.4649446494465
Stuart C Sherman,682,45188.0,66.25806451612904,23.636363636363637,26.969696969696972,99.05990857762178
Sultan Maruf,278,20320.0,73.09352517985612,52.89855072463768,0.36231884057971014,91.0394265232975
Suraj Jaswal,17,1332.55,78.38529411764705,0.0,6.25,13.84235987538708
Susan Lee,341,33759.0,99.0,41.36904761904761,14.583333333333334,94.93694914339082
Susan M Damplo,26,6524.0,250.92307692307693,20.0,64.0,2.9872973924153965
Tahirah A Moore,524,45416.0,86.67175572519083,7.8277886497064575,9.980430528375733,92.01718129508065
Talea E Wufka,215,9185.0,42.72093023255814,44.39252336448598,6.5420560747663545,99.58507123829183
Tamika Mapp,125,5143.21,41.14568,41.80327868852459,5.737704918032787,32.81696943865047
Tavo T Bortoli,4,190.0,47.5,0.0,0.0,100.0
Terrance D Knox,20,1720.0,86.0,0.0,55.00000000000001,99.9418942475305
Terrell L Finner,287,11470.06,39.96536585365853,0.0,28.11387900355872,100.0
Thomas A Leon,304,15540.0,51.11842105263158,7.4074074074074066,0.33670033670033667,83.81877022653723
Tiffany A Tucker-Pryor,249,12474.95,50.10020080321286,0.0,15.10204081632653,16.491475162086406
Tiffany Caban,2482,111910.74,45.08893634165995,17.101449275362317,25.383022774327124,91.79446869596366
Tiffany Winbush,373,22026.13,59.05128686327078,0.0,33.2409972299169,100.0
Timothy E Turane,44,2307.0,52.43181818181818,0.0,18.181818181818183,95.44890359950352
Timothy Rosen,6,420.86,70.14333333333333,0.0,16.666666666666664,80.80098298967093
Tirso S Pina,226,6690.0,29.601769911504423,42.47787610619469,3.0973451327433628,99.47955390334573
Toba Potosky,752,68441.36,91.01244680851065,69.28374655647383,14.600550964187327,93.79658386582805
Tony Avella,620,61854.94,99.76603225806451,50.49019607843137,6.862745098039216,84.03880666001565
Tricia Shimamura,723,49949.2,69.086030428769,27.74647887323944,21.549295774647888,93.79453316520777
Troy Blackwell,21,1615.0,76.9047619047619,28.57142857142857,38.095238095238095,100.0
Troy McGhie,353,24352.26,68.98657223796033,59.11764705882353,15.0,99.55032772932672
Uniqua S Smith,16,930.0,58.125,0.0,18.75,37.5
Vanessa Simon,232,14175.07,61.09943965517241,0.0,14.847161572052403,98.95288469794563
Vickie Paladino,881,65479.5,74.32406356413166,52.46277205040092,10.767468499427263,99.00210917832763
Victor Jordan,11,565.0,51.36363636363637,20.0,10.0,36.102236421725244
Victor Swinton,242,23610.0,97.56198347107438,29.66101694915254,21.1864406779661,81.38572905894519
Victoria E Cambranes,447,26232.33,58.68530201342282,32.511210762331835,6.278026905829597,91.45815559614579
Vivia Morgan,167,5569.0,33.34730538922156,19.875776397515526,8.695652173913043,83.51829634073185
Whitney A Hu,576,22026.0,38.239583333333336,0.0,16.869565217391305,92.79481501703724
Wilfredo Florentino,511,27284.39,53.39410958904109,31.69291338582677,10.433070866141732,93.79679416463296
William A Allen,361,29249.58,81.02376731301939,37.07865168539326,15.730337078651685,93.45039134710433
William H Salgado,7,3230.0,461.42857142857144,14.285714285714285,0.0,30.001718364674133
William Rivera,475,57429.01,120.90317894736843,50.10660980810234,7.036247334754798,95.03549702369773
Winton Tran,11,943.0,85.72727272727273,0.0,0.0,100.0
Yi Chen,987,138713.0,140.5400202634245,0.0,13.936927772126145,100.0
Yu Lin,415,41954.01,101.09400000000001,40.48192771084337,2.891566265060241,100.0
Yu-Ching James Pai,371,39094.0,105.37466307277629,0.0,8.086253369272237,97.50586122611861
Yudelka Tapia,577,43274.5,74.99913344887348,25.174825174825177,16.95804195804196,95.42442584813504
Yves T Filius,317,22876.5,72.16561514195584,21.72523961661342,14.376996805111823,96.80228535738753
Zack Weiner,55,2634.7,47.90363636363636,0.0,66.0377358490566,22.960948870122962
Zuri S Jackson,37,1862.0,50.32432432432432,25.0,16.666666666666664,97.13093375065206
