normalized_mem,count,total_amount,mean_amount,home_district_percentage,oos_percentage,perc_IND_value,perc_total,perc_highest,finance_cluster
Jennifer Gutierrez,613,38091.64,62.13970636215334,20.764119601328904,10.79734219269103,74.19248781301103,53.33003987056608,100.0,0
Joann Ariola,371,43905.0,118.34231805929919,60.810810810810814,5.135135135135135,89.59289868380777,20.709874749737192,55.58865326746258,3
Julie Menin,660,104280.11,158.00016666666667,37.75671406003159,12.480252764612953,90.85207358661705,29.68754906213248,100.0,1
Julie Won,805,81896.99,101.73539130434783,19.143576826196472,32.87153652392947,94.76363645620498,16.168912247581925,100.0,4
Kamillah M Hanks,658,83246.99,126.51518237082068,55.86854460093896,8.137715179968701,85.91106639560789,26.639802809600837,100.0,1
Kevin C Riley,429,34501.0,80.42191142191142,45.28301886792453,15.09433962264151,66.28304306044339,66.54212475004046,100.0,0
Kristin R Jordan,1803,91073.0,50.51192457016084,0.0,14.654688377316113,96.81098721205872,24.549518821810988,100.0,4
Lincoln Restler,850,87907.0,103.42,33.49455864570738,15.235792019347038,97.3794496316935,24.213735124559086,100.0,1
Linda Lee,643,84034.21,130.69083981337482,30.4552590266876,15.2276295133438,90.33429539608416,27.223582519688673,100.0,1
Lynn Schulman,747,89988.0,120.46586345381526,20.393811533052038,12.376933895921239,87.28034548227609,28.431804550969435,100.0,1
Marjorie Velazquez,913,75375.25,82.55777656078861,29.812981298129813,9.460946094609461,84.07611944960023,75.49498447173586,100.0,0
Mercedes Narcisse,869,121255.53,139.5345569620253,38.35457705677868,19.46697566628042,90.36610801719121,31.010355317476563,100.0,1
Nantasha Williams,774,63088.27,81.50939276485788,18.997361477572557,27.440633245382585,86.8825629254818,21.27877354918765,100.0,4
Oswald Feliz,312,35852.02,114.9103205128205,41.883116883116884,5.51948051948052,78.89752152504606,29.136531479828992,73.5257830709276,3
Pierina A Sanchez,1300,84443.47,64.95651538461539,14.24124513618677,21.71206225680934,87.42882334481436,30.948199200819694,100.0,4
Rafael Salamanca,782,474800.0,607.161125319693,6.985769728331177,40.49159120310479,91.8605248451474,97.67456472910158,100.0,2
Rita C Joseph,935,88930.38,95.11270588235294,22.33115468409586,23.093681917211327,90.74598019882805,24.206035944756465,99.52626152533085,4
Robert F Holden,692,61937.11,89.50449421965318,66.27737226277372,5.401459854014599,81.9142727269481,60.410569485356426,100.0,0
Sandra Ung,760,114079.29,150.1043289473684,29.57559681697613,14.456233421750664,87.19705656126392,25.473248028090623,86.35372692972388,1
Sandy Nurse,1336,63187.2,47.29580838323353,9.50191570881226,13.256704980842912,90.57008792811637,34.63648709391936,100.0,4
Selvena Brooks-Powers,373,55841.0,149.7077747989276,39.56639566395664,15.718157181571815,79.09934878774345,89.45374772092359,100.0,0
Shahana Hanif,1957,88402.88,45.1726520183955,38.86870783601453,13.907628437986508,94.28302971418455,22.430340944253977,100.0,4
Shaun Abreu,616,74498.62,120.93931818181818,35.17915309446254,20.195439739413683,83.4889151002866,18.217516226041646,100.0,1
